City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Dunedin,NZ,-45.8742,170.5036,51.8,82,100,1.01,moderate rain
243,Ormara,PK,25.2088,64.6357,83.17,77,2,18.68,clear sky
244,Shimoda,JP,34.6667,138.95,68.11,97,100,20.45,moderate rain
245,Machala,EC,-3.2667,-79.9667,78.75,83,100,9.22,overcast clouds
246,Caravelas,BR,-17.7125,-39.2481,76.78,75,4,7.16,clear sky
247,Terrace,CA,54.5163,-128.6035,51.71,46,75,17.27,broken clouds
248,Kerema,PG,-7.9631,145.7785,77.25,86,15,2.44,few clouds
249,Chase,CA,50.8165,-119.6857,52.14,69,100,3.67,overcast clouds
250,Khatanga,RU,71.9667,102.5,20.21,90,100,6.78,overcast clouds
251,Yerbogachen,RU,61.2767,108.0108,38.93,96,96,3.76,overcast clouds
252,Chum Phae,TH,16.5443,102.0992,78.24,76,48,2.95,scattered clouds
253,Pangody,RU,65.85,74.4859,35.65,95,31,7.65,scattered clouds
254,Pelym,RU,61.0108,61.9978,56.64,53,100,10.29,overcast clouds
255,Valparaiso,CL,-33.0393,-71.6273,70.03,64,0,10.36,clear sky
256,Kefalos,GR,36.7453,26.9589,64.62,77,20,2.3,few clouds
257,Guerrero Negro,MX,27.9769,-114.0611,79.47,27,48,11.81,scattered clouds
258,Noumea,NC,-22.2763,166.4572,75.0,99,100,11.99,overcast clouds
259,Henties Bay,NA,-22.116,14.2845,57.42,82,0,8.57,clear sky
260,Ulaanbaatar,MN,47.9077,106.8832,24.93,80,0,4.47,clear sky
261,Cascais,PT,38.6979,-9.4215,78.15,58,0,8.05,clear sky
262,Danielskuil,ZA,-28.1887,23.5395,54.95,28,98,5.84,overcast clouds
263,Loiza,PR,18.4313,-65.8802,87.78,63,40,18.41,scattered clouds
264,Korla,CN,41.7597,86.1469,68.09,22,100,8.12,overcast clouds
265,Longyearbyen,SJ,78.2186,15.6401,22.84,63,0,14.97,clear sky
266,Sumbe,AO,-11.2061,13.8437,75.9,90,15,6.13,few clouds
267,Betioky,MG,-23.7167,44.3833,68.02,59,3,4.43,clear sky
268,Laguna,US,38.421,-121.4238,78.76,35,0,11.5,clear sky
269,Surt,LY,31.2089,16.5887,66.4,64,0,6.91,clear sky
270,Seoul,KR,37.5683,126.9778,53.17,62,0,5.75,clear sky
271,Santa Ana,US,33.7456,-117.8678,93.94,24,20,4.61,few clouds
272,Esperance,AU,-33.8667,121.9,57.4,60,66,21.25,broken clouds
273,Zhangzhou,CN,24.5133,117.6556,69.73,96,100,0.92,overcast clouds
274,Port Keats,AU,-14.25,129.55,75.0,84,27,1.66,scattered clouds
275,Sinegorye,RU,62.0788,150.477,34.95,88,100,4.94,overcast clouds
276,Kavaratti,IN,10.5669,72.642,84.0,78,63,14.7,moderate rain
277,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,4.61,scattered clouds
278,Souillac,MU,-20.5167,57.5167,73.78,73,40,4.61,scattered clouds
279,Waipawa,NZ,-41.4122,175.5153,54.1,70,100,8.39,overcast clouds
280,Escanaba,US,45.7453,-87.0646,69.96,55,0,12.66,clear sky
281,Kaeo,NZ,-35.1,173.7833,46.33,96,31,3.78,scattered clouds
282,Alice Springs,AU,-23.7,133.8833,60.35,44,67,0.0,broken clouds
283,Carutapera,BR,-1.195,-46.02,80.42,86,41,7.92,scattered clouds
284,Narsaq,GL,60.9167,-46.05,39.42,76,83,5.73,broken clouds
285,Springdale,US,36.1867,-94.1288,84.49,51,40,12.66,light rain
286,Phibun Mangsahan,TH,15.2447,105.2291,78.78,86,100,6.08,overcast clouds
287,Malmedy,BE,50.4269,6.0279,55.29,76,13,2.3,few clouds
288,Wanaka,NZ,-44.7,169.15,55.11,73,100,1.01,overcast clouds
289,High Prairie,CA,55.4334,-116.4858,61.18,42,65,10.49,broken clouds
290,Port Macquarie,AU,-31.4333,152.9167,67.89,94,75,0.0,broken clouds
291,Kruisfontein,ZA,-34.0033,24.7314,61.88,73,74,13.78,broken clouds
292,Asau,RO,46.4333,26.4,61.95,92,100,3.85,light rain
293,Carauari,BR,-4.8828,-66.8958,84.79,75,51,2.1,broken clouds
294,Chichi,NG,7.2721,8.9332,84.4,67,21,11.39,few clouds
295,San Vicente,AR,-26.6167,-54.1333,69.1,62,11,2.24,few clouds
296,Yumen,CN,40.2833,97.2,43.3,66,1,6.93,clear sky
297,Ortigueira,BR,-24.2083,-50.9494,67.69,70,0,1.28,clear sky
298,Port Elizabeth,ZA,-33.918,25.5701,64.09,75,0,12.66,clear sky
299,Elko,US,41.0002,-115.5012,61.05,28,58,14.0,broken clouds
300,Ribeira Grande,PT,38.5167,-28.7,61.2,77,75,5.75,broken clouds
301,Pozo Colorado,PY,-23.4923,-58.7972,83.3,44,0,4.72,clear sky
302,Kashi,CN,39.4547,75.9797,56.41,82,81,20.13,light rain
303,Maldonado,UY,-34.6667,-54.9167,67.39,63,100,5.68,overcast clouds
304,Kautokeino,NO,69.0125,23.0412,32.07,95,99,0.72,overcast clouds
