City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Savonlinna,FI,2022-05-12 21:23:28,61.8699,28.88,44.65,93,20,4.61
176,Isangel,VU,2022-05-12 21:22:47,-19.55,169.2667,71.71,83,100,0.0
177,Beni Mazar,EG,2022-05-12 21:23:28,28.4962,30.8029,77.86,26,42,15.52
178,Lincoln,US,2022-05-12 21:19:39,40.8,-96.667,96.87,38,0,31.07
179,Maragheh,IR,2022-05-12 21:23:29,37.3917,46.2398,46.67,87,0,6.91
180,Ixtapa,MX,2022-05-12 21:23:25,20.7,-105.2,94.28,35,60,8.59
181,Harper,LR,2022-05-12 21:23:30,4.375,-7.7169,78.84,87,99,5.53
182,Englehart,CA,2022-05-12 21:23:30,47.8169,-79.8664,86.56,20,20,21.85
183,Tarko-Sale,RU,2022-05-12 21:23:31,64.9225,77.785,48.2,62,100,11.21
184,Victoria,HK,2022-05-12 21:21:59,22.2855,114.1577,78.94,97,100,3.0
185,Tilichiki,RU,2022-05-12 21:23:32,60.4667,166.1,32.83,90,100,4.88
186,Tsabong,BW,2022-05-12 21:23:32,-26.0217,22.401,68.0,28,1,8.57
187,Ranong,TH,2022-05-12 21:23:33,9.9658,98.6348,80.62,86,97,7.36
188,Mayo,US,2022-05-12 21:23:33,38.8876,-76.5119,73.81,80,100,6.91
189,Neryungri,RU,2022-05-12 21:23:34,56.6709,124.6491,28.35,97,100,4.76
190,Gat,IL,2022-05-12 21:23:35,31.61,34.7642,69.4,61,20,5.93
191,Cao Bang,VN,2022-05-12 21:23:35,22.6667,106.25,72.59,98,100,1.25
192,Nola,IT,2022-05-12 21:23:36,40.922,14.5329,65.16,89,13,1.25
193,Zhigansk,RU,2022-05-12 21:23:36,66.7697,123.3711,31.44,93,92,10.56
194,Makakilo City,US,2022-05-12 21:23:37,21.3469,-158.0858,82.15,52,0,16.11
195,Mitsamiouli,KM,2022-05-12 21:23:37,-11.3847,43.2844,79.7,68,7,5.99
196,Miri,MY,2022-05-12 21:23:38,4.4148,114.0089,75.34,100,40,2.3
197,Mahon,ES,2022-05-12 21:23:38,39.8885,4.2658,61.36,94,0,5.75
198,Orlik,RU,2022-05-12 21:23:39,52.5178,99.825,32.63,46,2,1.59
199,Sovetskiy,RU,2022-05-12 21:23:39,61.3614,63.5842,43.75,93,20,4.94
200,Fortuna,US,2022-05-12 21:23:40,40.5982,-124.1573,58.91,63,100,10.36
201,Olavarria,AR,2022-05-12 21:23:41,-36.8927,-60.3225,56.01,63,89,10.22
202,Ust-Tsilma,RU,2022-05-12 21:23:41,65.441,52.1498,44.01,93,100,8.75
203,Mirante Do Paranapanema,BR,2022-05-12 21:23:42,-22.2919,-51.9064,66.74,53,0,3.27
204,Faya,SA,2022-05-12 21:23:42,18.3851,42.4509,71.71,32,0,4.79
205,Saint George,US,2022-05-12 21:23:43,37.1041,-113.5841,72.79,19,0,4.0
206,Wasilla,US,2022-05-12 21:23:44,61.5814,-149.4394,54.66,37,0,5.75
207,Komsomolskiy,UZ,2022-05-12 21:23:44,40.4272,71.7189,68.72,52,100,6.91
208,Ola,RU,2022-05-12 21:23:45,59.5833,151.2833,43.14,84,50,3.42
209,Haines Junction,CA,2022-05-12 21:23:45,60.7522,-137.5108,49.95,34,89,4.61
210,Ruma,RS,2022-05-12 21:23:46,45.0081,19.8222,71.42,59,8,1.05
211,Andenes,NO,2022-05-12 21:23:47,69.3143,16.1194,37.38,87,75,11.5
212,Fonte Boa,BR,2022-05-12 21:23:47,-2.4959,-66.2662,80.2,94,27,3.33
213,Priyutnoye,RU,2022-05-12 21:23:48,46.1011,43.5072,51.96,79,14,11.63
214,Salinas,US,2022-05-12 21:23:48,36.6777,-121.6555,72.99,51,0,11.5
215,Cherskiy,RU,2022-05-12 21:23:49,68.75,161.3,31.91,89,94,11.68
216,Pandan,PH,2022-05-12 21:23:49,14.0453,124.1694,79.07,84,20,6.29
217,North Bend,US,2022-05-12 21:21:32,43.4065,-124.2243,53.24,95,100,12.66
218,Sorong,ID,2022-05-12 21:23:50,-0.8833,131.25,78.93,87,100,5.12
219,Hasaki,JP,2022-05-12 21:23:51,35.7333,140.8333,64.8,97,100,9.55
220,Mar Del Plata,AR,2022-05-12 21:19:10,-38.0023,-57.5575,55.87,73,0,11.99
221,Arlit,NE,2022-05-12 21:23:52,18.7369,7.3853,89.6,10,0,12.86
222,Pisco,PE,2022-05-12 21:23:52,-13.7,-76.2167,69.85,73,0,8.05
223,Flinders,AU,2022-05-12 21:23:53,-34.5833,150.8552,68.38,92,100,7.0
224,Conceicao Do Araguaia,BR,2022-05-12 21:23:53,-8.2578,-49.2647,82.47,64,96,3.38
225,Turukhansk,RU,2022-05-12 21:23:54,65.8167,87.9833,36.68,100,100,4.94
226,Honiara,SB,2022-05-12 21:23:54,-9.4333,159.95,79.66,78,98,1.45
227,Baykit,RU,2022-05-12 21:19:17,61.67,96.37,34.41,97,78,0.74
228,Yulara,AU,2022-05-12 21:23:55,-25.2406,130.9889,53.91,64,0,7.02
229,Roma,US,2022-05-12 21:22:04,43.2128,-75.4557,84.34,17,0,10.36
230,Bubaque,GW,2022-05-12 21:23:56,11.2833,-15.8333,77.77,81,9,19.26
231,Tuatapere,NZ,2022-05-12 21:23:57,-46.1333,167.6833,49.44,83,100,4.21
232,Lucapa,AO,2022-05-12 21:23:57,-8.4192,20.7447,74.08,62,100,0.85
233,Kolaras,IN,2022-05-12 21:23:58,25.2333,77.6,92.5,18,38,7.11
234,Yaan,NG,2022-05-12 21:23:58,7.3833,8.5667,81.1,68,52,5.95
235,Port Elizabeth,ZA,2022-05-12 21:23:59,-33.918,25.5701,59.31,92,0,5.01
236,Conde,BR,2022-05-12 21:23:59,-7.2597,-34.9075,78.26,89,75,8.05
237,Beidao,CN,2022-05-12 21:24:00,34.5686,105.8933,51.71,81,100,2.62
238,Sitka,US,2022-05-12 21:24:00,57.0531,-135.33,51.69,62,40,4.61
239,Sume,BR,2022-05-12 21:24:01,-7.6717,-36.88,77.76,67,100,10.8
240,New Ulm,US,2022-05-12 21:22:12,44.3125,-94.4605,93.92,44,0,17.27
241,Coahuayana,MX,2022-05-12 21:24:02,18.7333,-103.6833,94.3,37,5,8.9
242,Nanortalik,GL,2022-05-12 21:24:02,60.1432,-45.2371,35.87,76,100,3.04
243,Kulhudhuffushi,MV,2022-05-12 21:21:20,6.6221,73.07,82.56,77,85,19.3
244,Teeli,RU,2022-05-12 21:24:03,51.0333,90.2333,42.64,34,0,0.51
245,Chengde,CN,2022-05-12 21:24:04,40.9725,117.9361,40.75,30,2,2.37
246,Raymond,US,2022-05-12 21:24:04,43.9015,-70.4703,84.69,38,32,7.09
247,Avera,US,2022-05-12 21:24:05,33.194,-82.5271,82.38,54,88,12.84
248,Birin,NP,2022-05-12 21:24:05,26.8865,88.0718,61.16,85,22,4.25
249,Shelburne,CA,2022-05-12 21:24:06,44.0787,-80.2041,84.65,58,100,10.74
250,Kamaishi,JP,2022-05-12 21:24:07,39.2667,141.8833,58.28,97,100,8.03
251,Weyburn,CA,2022-05-12 21:24:08,49.6668,-103.8511,61.02,39,100,20.71
252,Oparino,RU,2022-05-12 21:24:09,59.8518,48.2783,40.51,86,56,5.37
253,Namatanai,PG,2022-05-12 21:24:09,-3.6667,152.4333,79.99,82,95,5.21
254,Matagami,CA,2022-05-12 21:24:10,49.7502,-77.6328,57.31,94,100,4.61
255,Toamasina,MG,2022-05-12 21:24:11,-18.1667,49.3833,71.6,94,40,4.61
256,Songkhla,TH,2022-05-12 21:24:11,6.8333,100.6667,78.85,94,100,3.69
257,Thompson,CA,2022-05-12 21:24:12,55.7435,-97.8558,62.76,34,75,0.0
258,Tulum,MX,2022-05-12 21:24:12,20.2167,-87.4667,84.63,54,0,10.63
259,Pangnirtung,CA,2022-05-12 21:24:13,66.1451,-65.7125,24.8,80,20,17.27
260,Isla Vista,US,2022-05-12 21:24:13,34.4133,-119.861,80.35,34,69,4.0
261,Hondo,JP,2022-05-12 21:24:14,32.45,130.2,68.41,99,100,2.86
262,Medicine Hat,CA,2022-05-12 21:24:14,50.0501,-110.6683,63.03,28,100,8.05
263,Kalmunai,LK,2022-05-12 21:24:15,7.4167,81.8167,80.17,74,100,5.28
264,Kattivakkam,IN,2022-05-12 21:24:16,13.2167,80.3167,80.69,90,100,14.76
265,Ulladulla,AU,2022-05-12 21:24:16,-35.35,150.4667,63.99,95,100,6.24
266,Kurchum,KZ,2022-05-12 21:24:17,48.5722,83.6542,56.26,44,5,5.03
267,Itaituba,BR,2022-05-12 21:24:18,-4.2761,-55.9836,89.76,66,20,4.61
268,Urazovo,RU,2022-05-12 21:24:18,50.0836,38.0395,60.93,64,87,20.85
269,Korocha,RU,2022-05-12 21:24:19,50.8107,37.1953,63.32,90,100,19.04
270,Chumphon,TH,2022-05-12 21:24:19,10.3333,98.8333,74.01,92,99,2.01
271,Ancud,CL,2022-05-12 21:24:20,-41.8697,-73.8203,48.4,70,41,16.49
272,Los Llanos De Aridane,ES,2022-05-12 21:24:21,28.6585,-17.9182,64.15,90,100,12.66
273,Shenjiamen,CN,2022-05-12 21:24:21,29.9576,122.298,62.47,97,100,13.47
274,Pingliang,CN,2022-05-12 21:24:22,35.5392,106.6861,44.42,86,98,3.36
275,Maragogi,BR,2022-05-12 21:24:22,-9.0122,-35.2225,78.19,81,26,7.23
276,Chuy,UY,2022-05-12 21:16:17,-33.6971,-53.4616,54.91,71,45,6.35
277,Usogorsk,RU,2022-05-12 21:24:23,63.4106,48.6872,44.11,91,100,9.01
278,Kenai,US,2022-05-12 21:24:24,60.5544,-151.2583,54.03,58,0,11.5
279,Oskaloosa,US,2022-05-12 21:21:46,41.2964,-92.6444,96.78,28,0,20.71
280,Vardo,NO,2022-05-12 21:24:24,70.3705,31.1107,35.58,80,59,9.22
281,Maputo,MZ,2022-05-12 21:24:25,-25.9653,32.5892,70.23,93,0,3.0
282,Nouadhibou,MR,2022-05-12 21:24:26,20.931,-17.0347,69.78,78,11,20.71
283,Fuling,CN,2022-05-12 21:24:26,29.7022,107.3919,67.42,85,81,4.05
284,Cabedelo,BR,2022-05-12 21:24:27,-6.9811,-34.8339,79.47,82,16,11.21
285,Narsaq,GL,2022-05-12 21:24:27,60.9167,-46.05,43.02,88,100,0.94
286,Severnoye,RU,2022-05-12 21:24:28,56.3491,78.3619,52.63,36,96,1.54
287,Trapani,IT,2022-05-12 21:24:29,37.8333,12.6667,65.28,88,0,4.61
288,Khatanga,RU,2022-05-12 21:24:29,71.9667,102.5,8.42,94,12,10.29
289,Marystown,CA,2022-05-12 21:24:30,47.1666,-55.1483,54.86,100,60,8.01
290,Fredericton,CA,2022-05-12 21:24:30,45.9454,-66.6656,81.64,17,0,6.91
291,San Francisco,US,2022-05-12 21:24:31,37.7749,-122.4194,69.31,63,75,17.27
292,Alta Floresta,BR,2022-05-12 21:24:31,-9.8756,-56.0861,78.93,77,2,4.47
293,Garissa,KE,2022-05-12 21:24:32,-0.4536,39.6401,76.93,74,99,16.26
294,Walvis Bay,NA,2022-05-12 21:24:32,-22.9575,14.5053,58.15,72,74,1.14
